First_Name,Last_Name,Club,National_Team
Ahmed,Musa,Al-Nassr FC,Nigeria
Alphonso,Davies,Vancouver Whitecaps,Canada
Anderson,Talisca,Guangzhou Evergrande,Brazil
Andres,Iniesta,FC Barcelona,Spain
Anice,Badri,Esperance Tunis,Tunisia
Atsuto,Uchida,Kashima Antlers,Japan
Bafetimbi,Gomis,Al-Hilal FC,France
Balazs,Dzusudzsak,Al-Ittihad Kalba SC,Hungary
Carlos,Eduardo,Al-Hilal FC,Brazil
Carlos,Tevez,Boca Juniors,Argentina
Cristiano,Ronaldo,Juventus,Portugal
Dario,Benedetto,Boca Juniors,Argentina
David,de Gea,Manchester United,Spain
Diego,Alves,Flamengo,Brazil
Diego,Valeri,Portland Timbers,Argentina
Diego,Chara,Portland Timbers,Colombia
Ezequiel,Barco,Atlanta United,Argentina
Ferjani,Sassi,Zamalek SC,Tunisia
Gabriel,Barbosa,Santos FC,Brazil
Gareth,Bale,Real Madrid,Wales
Gianluigi,Buffon,Paris St. Germain,Italy
Giorgio,Chiellini,Juventus,Italy
Jay,Bothroyd,Hokkaido Consadole Sapporo,England
Josef,Martinez,Atlanta United,Venezuela
Karim,Benzema,Real Madrid,France
Kei,Kamara,Vancouver Whitecaps,Sierra Leone
Keisuke,Honda,Melbourne Victory,Japan
Kendall,Waston,Vancouver Whitecaps,Costa Rica
Kengo,Nakamura,Kawasaki Frontale,Japan
Kylian,Mbappe,Paris St. Germain,France
Lei,Wu,Shanghai SIPG,China
Lionel ,Messi,FC Barcelona,Argentina
Lisandro,Lopez,Racing Club,Argentina
Lucas,Paqueta,Flamengo,Brazil
Lucas,Lima,Palmeiras,Brazil
Lucho,Gonzalez,Atletico Paranaense,Argentina
Luis ,Suarez,FC Barcelona,Uruguay
Luka,Modric,Real Madrid,Croatia
Marcus,Berg,Al-Ain FC,Sweden
Marcus,Rashford,Manchester United,England
Miguel,Almiron,Atlanta United,Paraguay
Miguel,Borja,Palmeiras,Colombia
Milos,Ninkovic,Sydney FC,Serbia
Nana,Kwesi,TP Mazembe,Ghana
Nemanja,Matic,Manchester United,Serbia
Neymar,da Silva,Paris St. Germain,Brazil
Nordin,Amrabat,Al-Nassr FC,Morocco
Omar,Al Somah,Al-Ahli Saudi FC,Syria
Oscar,dos Santos,Shanghai SIPG,Brazil
Paul,Pogba,Manchester United,France
Paulo,Diaz,Al-Ahli Saudi FC,Chile
Paulo,Dybala,Juventus,Argentina
Ricardo,Goulart,Guangzhou Evergrande,Brazil
Salah,Mohsen,Al-Ahly SC,Egypt
Sebastien,Blanco,Portland Timbers,Argentina
Sergio ,Ramos,Real Madrid,Spain
Siem,De Jong,Sydney FC,Netherlands
Walid,El Karti,Wydad Athletic Club,Morocco
Xavi,Hernandez,Al Sadd SC,Spain
Zlatan ,Ibrahimovic,LA Galaxy,Sweden
